region_from,region_to,SC,module_from,overlapping_from,module_to,overlapping_to
rh_R_RSC,rh_R_8BM,6.513554224,Cingulate and adj. cortex + visual,Overlapping,Anterior frontal + cingulate and adj. cortex,Overlapping
rh_R_POS2,rh_R_8BM,5.575069773,Cingulate and adj. cortex + visual,Overlapping,Anterior frontal + cingulate and adj. cortex,Overlapping
rh_R_9m,rh_R_8BM,8.452758105,Anterior frontal + cingulate and adj. cortex,Overlapping,Anterior frontal + cingulate and adj. cortex,Overlapping
rh_R_PoI2,rh_R_8BM,0.0,Somatomotor + insula and post. temporal,Overlapping,Anterior frontal + cingulate and adj. cortex,Overlapping
rh_R_PeEc,rh_R_8BM,4.076538633,Cingulate and adj. cortex + visual,Overlapping,Anterior frontal + cingulate and adj. cortex,Overlapping
rh_R_A5,rh_R_8BM,0.0,Insula and post. temporal + visual,Overlapping,Anterior frontal + cingulate and adj. cortex,Overlapping
rh_R_PHA1,rh_R_8BM,3.934950232,Cingulate and adj. cortex + visual,Overlapping,Anterior frontal + cingulate and adj. cortex,Overlapping
rh_R_PFm,rh_R_8BM,0.0,Fronto-parietal + somatomotor,Overlapping,Anterior frontal + cingulate and adj. cortex,Overlapping
rh_R_PGs,rh_R_8BM,0.0,Visual + fronto-parietal,Overlapping,Anterior frontal + cingulate and adj. cortex,Overlapping
rh_R_A4,rh_R_8BM,0.0,Insula and post. temporal + visual,Overlapping,Anterior frontal + cingulate and adj. cortex,Overlapping
rh_R_RSC,rh_R_9m,6.937054915,Cingulate and adj. cortex + visual,Overlapping,Anterior frontal + cingulate and adj. cortex,Overlapping
rh_R_POS2,rh_R_9m,5.085740582,Cingulate and adj. cortex + visual,Overlapping,Anterior frontal + cingulate and adj. cortex,Overlapping
rh_R_8BM,rh_R_9m,8.452758105,Anterior frontal + cingulate and adj. cortex,Overlapping,Anterior frontal + cingulate and adj. cortex,Overlapping
rh_R_PoI2,rh_R_9m,0.0,Somatomotor + insula and post. temporal,Overlapping,Anterior frontal + cingulate and adj. cortex,Overlapping
rh_R_PeEc,rh_R_9m,4.124956739,Cingulate and adj. cortex + visual,Overlapping,Anterior frontal + cingulate and adj. cortex,Overlapping
rh_R_A5,rh_R_9m,0.0,Insula and post. temporal + visual,Overlapping,Anterior frontal + cingulate and adj. cortex,Overlapping
rh_R_PHA1,rh_R_9m,3.966866193,Cingulate and adj. cortex + visual,Overlapping,Anterior frontal + cingulate and adj. cortex,Overlapping
rh_R_PFm,rh_R_9m,0.0,Fronto-parietal + somatomotor,Overlapping,Anterior frontal + cingulate and adj. cortex,Overlapping
rh_R_PGs,rh_R_9m,0.0,Visual + fronto-parietal,Overlapping,Anterior frontal + cingulate and adj. cortex,Overlapping
rh_R_A4,rh_R_9m,0.0,Insula and post. temporal + visual,Overlapping,Anterior frontal + cingulate and adj. cortex,Overlapping
rh_R_RSC,rh_R_PHA1,5.191664931,Cingulate and adj. cortex + visual,Overlapping,Cingulate and adj. cortex + visual,Overlapping
rh_R_POS2,rh_R_PHA1,6.243034859,Cingulate and adj. cortex + visual,Overlapping,Cingulate and adj. cortex + visual,Overlapping
rh_R_8BM,rh_R_PHA1,3.934950232,Anterior frontal + cingulate and adj. cortex,Overlapping,Cingulate and adj. cortex + visual,Overlapping
rh_R_9m,rh_R_PHA1,3.966866193,Anterior frontal + cingulate and adj. cortex,Overlapping,Cingulate and adj. cortex + visual,Overlapping
rh_R_PoI2,rh_R_PHA1,0.0,Somatomotor + insula and post. temporal,Overlapping,Cingulate and adj. cortex + visual,Overlapping
rh_R_PeEc,rh_R_PHA1,6.552967927,Cingulate and adj. cortex + visual,Overlapping,Cingulate and adj. cortex + visual,Overlapping
rh_R_A5,rh_R_PHA1,0.0,Insula and post. temporal + visual,Overlapping,Cingulate and adj. cortex + visual,Overlapping
rh_R_PFm,rh_R_PHA1,0.0,Fronto-parietal + somatomotor,Overlapping,Cingulate and adj. cortex + visual,Overlapping
rh_R_PGs,rh_R_PHA1,0.0,Visual + fronto-parietal,Overlapping,Cingulate and adj. cortex + visual,Overlapping
rh_R_A4,rh_R_PHA1,0.0,Insula and post. temporal + visual,Overlapping,Cingulate and adj. cortex + visual,Overlapping
rh_R_RSC,rh_R_POS2,8.068142451,Cingulate and adj. cortex + visual,Overlapping,Cingulate and adj. cortex + visual,Overlapping
rh_R_8BM,rh_R_POS2,5.575069773,Anterior frontal + cingulate and adj. cortex,Overlapping,Cingulate and adj. cortex + visual,Overlapping
