Module_Number,Module_Name,Color
0,Attention,#f8766d
5,Cingulate and adj. cortex,#e38900
2_5,Visual + cingulate and adj. cortex,#c49a00
0_2_5,Attention + visual + cingulate and adj. cortex,#99a800
2,Visual,#53b400
2_4,Visual + fronto-parietal,#00bc56
4,Fronto-parietal,#00c094
1_4,Somatomotor + fronto-parietal,#00bfc4
1,Somatomotor,#00b6eb
3,Salience,#06a4ff
1_6,Somatomotor + anterior frontal,#a58aff
6,Anterior frontal,#df70f8
0_6,Anterior frontal + attention,#fb61d7
5_6,Anterior frontal + cingulate and adj. cortex,#ff66a8
