Node_Index,Region_Name,Base_Region,Hemisphere
1,L_V1_ROI,V1_ROI,Left
2,L_MST_ROI,MST_ROI,Left
3,L_V6_ROI,V6_ROI,Left
4,L_V2_ROI,V2_ROI,Left
5,L_V3_ROI,V3_ROI,Left
6,L_V4_ROI,V4_ROI,Left
7,L_V8_ROI,V8_ROI,Left
8,L_4_ROI,4_ROI,Left
9,L_3b_ROI,3b_ROI,Left
10,L_FEF_ROI,FEF_ROI,Left
11,L_PEF_ROI,PEF_ROI,Left
12,L_55b_ROI,55b_ROI,Left
13,L_V3A_ROI,V3A_ROI,Left
14,L_RSC_ROI,RSC_ROI,Left
15,L_POS2_ROI,POS2_ROI,Left
16,L_V7_ROI,V7_ROI,Left
17,L_IPS1_ROI,IPS1_ROI,Left
18,L_FFC_ROI,FFC_ROI,Left
19,L_V3B_ROI,V3B_ROI,Left
20,L_LO1_ROI,LO1_ROI,Left
21,L_LO2_ROI,LO2_ROI,Left
22,L_PIT_ROI,PIT_ROI,Left
23,L_MT_ROI,MT_ROI,Left
24,L_A1_ROI,A1_ROI,Left
25,L_PSL_ROI,PSL_ROI,Left
26,L_SFL_ROI,SFL_ROI,Left
27,L_PCV_ROI,PCV_ROI,Left
28,L_STV_ROI,STV_ROI,Left
29,L_7Pm_ROI,7Pm_ROI,Left
30,L_7m_ROI,7m_ROI,Left
31,L_POS1_ROI,POS1_ROI,Left
32,L_23d_ROI,23d_ROI,Left
33,L_v23ab_ROI,v23ab_ROI,Left
34,L_d23ab_ROI,d23ab_ROI,Left
35,L_31pv_ROI,31pv_ROI,Left
36,L_5m_ROI,5m_ROI,Left
37,L_5mv_ROI,5mv_ROI,Left
38,L_23c_ROI,23c_ROI,Left
39,L_5L_ROI,5L_ROI,Left
40,L_24dd_ROI,24dd_ROI,Left
41,L_24dv_ROI,24dv_ROI,Left
42,L_7AL_ROI,7AL_ROI,Left
43,L_SCEF_ROI,SCEF_ROI,Left
44,L_6ma_ROI,6ma_ROI,Left
45,L_7Am_ROI,7Am_ROI,Left
46,L_7PL_ROI,7PL_ROI,Left
47,L_7PC_ROI,7PC_ROI,Left
48,L_LIPv_ROI,LIPv_ROI,Left
49,L_VIP_ROI,VIP_ROI,Left
50,L_MIP_ROI,MIP_ROI,Left
51,L_1_ROI,1_ROI,Left
52,L_2_ROI,2_ROI,Left
53,L_3a_ROI,3a_ROI,Left
54,L_6d_ROI,6d_ROI,Left
55,L_6mp_ROI,6mp_ROI,Left
56,L_6v_ROI,6v_ROI,Left
57,L_p24pL_ROI,p24pr_ROI,Left
58,L_33pL_ROI,33pr_ROI,Left
59,L_a24pL_ROI,a24pr_ROI,Left
60,L_p32pL_ROI,p32pr_ROI,Left
61,L_a24_ROI,a24_ROI,Left
62,L_d32_ROI,d32_ROI,Left
63,L_8BM_ROI,8BM_ROI,Left
64,L_p32_ROI,p32_ROI,Left
65,L_10L_ROI,10r_ROI,Left
66,L_47m_ROI,47m_ROI,Left
67,L_8Av_ROI,8Av_ROI,Left
68,L_8Ad_ROI,8Ad_ROI,Left
69,L_9m_ROI,9m_ROI,Left
70,L_8BL_ROI,8BL_ROI,Left
71,L_9p_ROI,9p_ROI,Left
72,L_10d_ROI,10d_ROI,Left
73,L_8C_ROI,8C_ROI,Left
74,L_44_ROI,44_ROI,Left
75,L_45_ROI,45_ROI,Left
76,L_47l_ROI,47l_ROI,Left
77,L_a47L_ROI,a47r_ROI,Left
78,L_6L_ROI,6r_ROI,Left
79,L_IFJa_ROI,IFJa_ROI,Left
80,L_IFJp_ROI,IFJp_ROI,Left
81,L_IFSp_ROI,IFSp_ROI,Left
82,L_IFSa_ROI,IFSa_ROI,Left
83,L_p9-46v_ROI,p9-46v_ROI,Left
84,L_46_ROI,46_ROI,Left
85,L_a9-46v_ROI,a9-46v_ROI,Left
