Louvain_community,node_index,Glasser_RH_ROI
1,1,R_V1_ROI
1,2,R_MST_ROI
1,3,R_V6_ROI
1,4,R_V2_ROI
1,5,R_V3_ROI
1,6,R_V4_ROI
1,7,R_V8_ROI
5,8,R_4_ROI
5,9,R_3b_ROI
5,10,R_FEF_ROI
5,11,R_PEF_ROI
5,12,R_55b_ROI
1,13,R_V3A_ROI
2,14,R_RSC_ROI
2,15,R_POS2_ROI
1,16,R_V7_ROI
7,17,R_IPS1_ROI
1,18,R_FFC_ROI
1,19,R_V3B_ROI
1,20,R_LO1_ROI
1,21,R_LO2_ROI
1,22,R_PIT_ROI
1,23,R_MT_ROI
7,24,R_A1_ROI
6,25,R_PSL_ROI
2,26,R_SFL_ROI
2,27,R_PCV_ROI
6,28,R_STV_ROI
2,29,R_7Pm_ROI
2,30,R_7m_ROI
2,31,R_POS1_ROI
2,32,R_23d_ROI
2,33,R_v23ab_ROI
2,34,R_d23ab_ROI
2,35,R_31pv_ROI
5,36,R_5m_ROI
2,37,R_5mv_ROI
2,38,R_23c_ROI
5,39,R_5L_ROI
2,40,R_24dd_ROI
2,41,R_24dv_ROI
5,42,R_7AL_ROI
2,43,R_SCEF_ROI
5,44,R_6ma_ROI
7,45,R_7Am_ROI
7,46,R_7PL_ROI
5,47,R_7PC_ROI
7,48,R_LIPv_ROI
7,49,R_VIP_ROI
7,50,R_MIP_ROI
5,51,R_1_ROI
5,52,R_2_ROI
5,53,R_3a_ROI
5,54,R_6d_ROI
5,55,R_6mp_ROI
5,56,R_6v_ROI
2,57,R_p24pr_ROI
2,58,R_33pr_ROI
2,59,R_a24pr_ROI
2,60,R_p32pr_ROI
2,61,R_a24_ROI
2,62,R_d32_ROI
2,63,R_8BM_ROI
2,64,R_p32_ROI
2,65,R_10r_ROI
4,66,R_47m_ROI
3,67,R_8Av_ROI
3,68,R_8Ad_ROI
2,69,R_9m_ROI
3,70,R_8BL_ROI
3,71,R_9p_ROI
2,72,R_10d_ROI
6,73,R_8C_ROI
6,74,R_44_ROI
6,75,R_45_ROI
4,76,R_47l_ROI
3,77,R_a47r_ROI
5,78,R_6r_ROI
6,79,R_IFJa_ROI
6,80,R_IFJp_ROI
6,81,R_IFSp_ROI
6,82,R_IFSa_ROI
6,83,R_p9-46v_ROI
3,84,R_46_ROI
3,85,R_a9-46v_ROI
3,86,R_9-46d_ROI
3,87,R_9a_ROI
2,88,R_10v_ROI
3,89,R_a10p_ROI
4,90,R_10pp_ROI
4,91,R_11l_ROI
4,93,R_OFC_ROI
4,94,R_47s_ROI
5,95,R_LIPd_ROI
5,96,R_6a_ROI
5,97,R_i6-8_ROI
3,98,R_s6-8_ROI
5,99,R_43_ROI
5,100,R_OP4_ROI
7,101,R_OP1_ROI
7,102,R_OP2-3_ROI
7,103,R_52_ROI
7,104,R_RI_ROI
7,105,R_PFcm_ROI
7,106,R_PoI2_ROI
1,107,R_TA2_ROI
4,108,R_FOP4_ROI
4,109,R_MI_ROI
4,110,R_Pir_ROI
4,111,R_AVI_ROI
4,112,R_AAIC_ROI
4,113,R_FOP1_ROI
4,114,R_FOP3_ROI
4,115,R_FOP2_ROI
5,116,R_PFt_ROI
5,117,R_AIP_ROI
1,118,R_EC_ROI
1,119,R_PreS_ROI
1,120,R_H_ROI
1,121,R_ProS_ROI
1,122,R_PeEc_ROI
1,123,R_STGa_ROI
7,124,R_PBelt_ROI
7,125,R_A5_ROI
1,126,R_PHA1_ROI
1,127,R_PHA3_ROI
1,128,R_STSda_ROI
6,129,R_STSdp_ROI
6,130,R_STSvp_ROI
1,131,R_TGd_ROI
1,132,R_TE1a_ROI
6,133,R_TE1p_ROI
6,134,R_TE2a_ROI
1,135,R_TF_ROI
6,136,R_TE2p_ROI
6,137,R_PHT_ROI
1,138,R_PH_ROI
6,139,R_TPOJ1_ROI
6,140,R_TPOJ2_ROI
6,141,R_TPOJ3_ROI
1,142,R_DVT_ROI
1,143,R_PGp_ROI
5,144,R_IP2_ROI
5,145,R_IP1_ROI
1,146,R_IP0_ROI
5,147,R_PFop_ROI
5,148,R_PF_ROI
6,149,R_PFm_ROI
6,150,R_PGi_ROI
6,151,R_PGs_ROI
1,152,R_V6A_ROI
1,153,R_VMV1_ROI
1,154,R_VMV3_ROI
1,155,R_PHA2_ROI
1,156,R_V4t_ROI
1,157,R_FST_ROI
1,158,R_V3CD_ROI
1,159,R_LO3_ROI
1,160,R_VMV2_ROI
2,161,R_31pd_ROI
2,162,R_31a_ROI
1,163,R_VVC_ROI
2,164,R_25_ROI
2,165,R_s32_ROI
1,166,R_pOFC_ROI
7,167,R_PoI1_ROI
7,168,R_Ig_ROI
4,169,R_FOP5_ROI
3,170,R_p10p_ROI
6,171,R_p47r_ROI
1,172,R_TGv_ROI
7,173,R_MBelt_ROI
7,174,R_LBelt_ROI
7,175,R_A4_ROI
1,176,R_STSva_ROI
6,177,R_TE1m_ROI
1,178,R_PI_ROI
2,179,R_a32pr_ROI
2,180,R_p24_ROI
