Louvain_community,node_index,Glasser_RH_ROI
6,1,R_V1_ROI
6,2,R_MST_ROI
6,3,R_V6_ROI
6,4,R_V2_ROI
6,5,R_V3_ROI
6,6,R_V4_ROI
6,7,R_V8_ROI
1,8,R_4_ROI
1,9,R_3b_ROI
1,10,R_FEF_ROI
1,11,R_PEF_ROI
1,12,R_55b_ROI
6,13,R_V3A_ROI
3,14,R_RSC_ROI
6,15,R_POS2_ROI
6,16,R_V7_ROI
6,17,R_IPS1_ROI
6,18,R_FFC_ROI
6,19,R_V3B_ROI
6,20,R_LO1_ROI
6,21,R_LO2_ROI
6,22,R_PIT_ROI
6,23,R_MT_ROI
5,24,R_A1_ROI
4,25,R_PSL_ROI
3,26,R_SFL_ROI
3,27,R_PCV_ROI
4,28,R_STV_ROI
3,29,R_7Pm_ROI
3,30,R_7m_ROI
3,31,R_POS1_ROI
3,32,R_23d_ROI
3,33,R_v23ab_ROI
3,34,R_d23ab_ROI
3,35,R_31pv_ROI
3,36,R_5m_ROI
3,37,R_5mv_ROI
3,38,R_23c_ROI
3,39,R_5L_ROI
3,40,R_24dd_ROI
3,41,R_24dv_ROI
1,42,R_7AL_ROI
3,43,R_SCEF_ROI
1,44,R_6ma_ROI
5,45,R_7Am_ROI
5,46,R_7PL_ROI
1,47,R_7PC_ROI
5,48,R_LIPv_ROI
5,49,R_VIP_ROI
5,50,R_MIP_ROI
1,51,R_1_ROI
1,52,R_2_ROI
1,53,R_3a_ROI
1,54,R_6d_ROI
1,55,R_6mp_ROI
1,56,R_6v_ROI
3,57,R_p24pr_ROI
3,58,R_33pr_ROI
3,59,R_a24pr_ROI
3,60,R_p32pr_ROI
3,61,R_a24_ROI
3,62,R_d32_ROI
3,63,R_8BM_ROI
3,64,R_p32_ROI
3,65,R_10r_ROI
2,66,R_47m_ROI
1,67,R_8Av_ROI
3,68,R_8Ad_ROI
3,69,R_9m_ROI
3,70,R_8BL_ROI
3,71,R_9p_ROI
3,72,R_10d_ROI
4,73,R_8C_ROI
4,74,R_44_ROI
4,75,R_45_ROI
4,76,R_47l_ROI
3,77,R_a47r_ROI
1,78,R_6r_ROI
4,79,R_IFJa_ROI
1,80,R_IFJp_ROI
4,81,R_IFSp_ROI
4,82,R_IFSa_ROI
4,83,R_p9-46v_ROI
3,84,R_46_ROI
4,85,R_a9-46v_ROI
3,86,R_9-46d_ROI
3,87,R_9a_ROI
3,88,R_10v_ROI
3,89,R_a10p_ROI
3,90,R_10pp_ROI
2,91,R_11l_ROI
6,93,R_OFC_ROI
6,94,R_47s_ROI
1,95,R_LIPd_ROI
1,96,R_6a_ROI
1,97,R_i6-8_ROI
3,98,R_s6-8_ROI
1,99,R_43_ROI
1,100,R_OP4_ROI
4,101,R_OP1_ROI
1,102,R_OP2-3_ROI
6,103,R_52_ROI
4,104,R_RI_ROI
4,105,R_PFcm_ROI
1,106,R_PoI2_ROI
6,107,R_TA2_ROI
4,108,R_FOP4_ROI
4,109,R_MI_ROI
6,110,R_Pir_ROI
4,111,R_AVI_ROI
6,112,R_AAIC_ROI
4,113,R_FOP1_ROI
4,114,R_FOP3_ROI
4,115,R_FOP2_ROI
1,116,R_PFt_ROI
1,117,R_AIP_ROI
6,118,R_EC_ROI
6,119,R_PreS_ROI
6,120,R_H_ROI
6,121,R_ProS_ROI
6,122,R_PeEc_ROI
6,123,R_STGa_ROI
5,124,R_PBelt_ROI
6,125,R_A5_ROI
6,126,R_PHA1_ROI
6,127,R_PHA3_ROI
6,128,R_STSda_ROI
4,129,R_STSdp_ROI
4,130,R_STSvp_ROI
6,131,R_TGd_ROI
6,132,R_TE1a_ROI
4,133,R_TE1p_ROI
4,134,R_TE2a_ROI
6,135,R_TF_ROI
4,136,R_TE2p_ROI
4,137,R_PHT_ROI
6,138,R_PH_ROI
4,139,R_TPOJ1_ROI
4,140,R_TPOJ2_ROI
6,141,R_TPOJ3_ROI
6,142,R_DVT_ROI
6,143,R_PGp_ROI
1,144,R_IP2_ROI
1,145,R_IP1_ROI
6,146,R_IP0_ROI
1,147,R_PFop_ROI
4,148,R_PF_ROI
4,149,R_PFm_ROI
4,150,R_PGi_ROI
4,151,R_PGs_ROI
6,152,R_V6A_ROI
6,153,R_VMV1_ROI
6,154,R_VMV3_ROI
6,155,R_PHA2_ROI
6,156,R_V4t_ROI
6,157,R_FST_ROI
6,158,R_V3CD_ROI
6,159,R_LO3_ROI
6,160,R_VMV2_ROI
3,161,R_31pd_ROI
3,162,R_31a_ROI
6,163,R_VVC_ROI
3,164,R_25_ROI
3,165,R_s32_ROI
6,166,R_pOFC_ROI
6,167,R_PoI1_ROI
4,168,R_Ig_ROI
4,169,R_FOP5_ROI
3,170,R_p10p_ROI
4,171,R_p47r_ROI
6,172,R_TGv_ROI
5,173,R_MBelt_ROI
5,174,R_LBelt_ROI
5,175,R_A4_ROI
6,176,R_STSva_ROI
4,177,R_TE1m_ROI
6,178,R_PI_ROI
3,179,R_a32pr_ROI
3,180,R_p24_ROI
