R_V1_ROI,Brainy McBrainFace,Not
R_MST_ROI,Brainy McBrainFace,Not
R_V6_ROI,Brainy McBrainFace,Not
R_V2_ROI,Brainy McBrainFace,Not
R_V3_ROI,Brainy McBrainFace,Not
R_V4_ROI,Brainy McBrainFace,Not
R_V8_ROI,Brainy McBrainFace,Not
R_4_ROI,Dorsal Prefrontal,Not
R_3b_ROI,Dorsal Prefrontal,Not
R_FEF_ROI,Dorsal Prefrontal,Not
R_PEF_ROI,Dorsal Prefrontal,Not
R_55b_ROI,Dorsal Prefrontal,Not
R_V3A_ROI,Brainy McBrainFace,Not
R_RSC_ROI,Occipito-temporal + Brainy McBrainFace,Overlapping
R_POS2_ROI,Occipito-temporal + Brainy McBrainFace,Overlapping
R_V7_ROI,Brainy McBrainFace,Not
R_IPS1_ROI,Brainy McBrainFace,Not
R_FFC_ROI,Brainy McBrainFace,Not
R_V3B_ROI,Brainy McBrainFace,Not
R_LO1_ROI,Brainy McBrainFace,Not
R_LO2_ROI,Brainy McBrainFace,Not
R_PIT_ROI,Brainy McBrainFace,Not
R_MT_ROI,Brainy McBrainFace,Not
R_A1_ROI,Somatomotor,Not
R_PSL_ROI,Somatomotor,Not
R_SFL_ROI,Auditory,Not
R_PCV_ROI,Occipito-temporal,Not
R_STV_ROI,Somatomotor,Not
R_7Pm_ROI,Occipito-temporal,Not
R_7m_ROI,Occipito-temporal,Not
R_POS1_ROI,Occipito-temporal,Not
R_23d_ROI,Occipito-temporal,Not
R_v23ab_ROI,Occipito-temporal,Not
R_d23ab_ROI,Occipito-temporal,Not
R_31pv_ROI,Occipito-temporal,Not
R_5m_ROI,Dorsal Prefrontal,Not
R_5mv_ROI,Occipito-temporal,Not
R_23c_ROI,Occipito-temporal,Not
R_5L_ROI,Dorsal Prefrontal,Not
R_24dd_ROI,Occipito-temporal,Not
R_24dv_ROI,Occipito-temporal,Not
R_7AL_ROI,Dorsal Prefrontal,Not
R_SCEF_ROI,Occipito-temporal,Not
R_6ma_ROI,Dorsal Prefrontal,Not
R_7Am_ROI,Somatomotor,Not
R_7PL_ROI,Brainy McBrainFace,Not
R_7PC_ROI,Dorsal Prefrontal,Not
R_LIPv_ROI,Dorsal Prefrontal,Not
R_VIP_ROI,Somatomotor,Not
R_MIP_ROI,Brainy McBrainFace,Not
R_1_ROI,Dorsal Prefrontal,Not
R_2_ROI,Dorsal Prefrontal,Not
R_3a_ROI,Dorsal Prefrontal,Not
R_6d_ROI,Dorsal Prefrontal,Not
R_6mp_ROI,Dorsal Prefrontal,Not
R_6v_ROI,Dorsal Prefrontal,Not
R_p24pr_ROI,Occipito-temporal,Not
R_33pr_ROI,Occipito-temporal,Not
R_a24pr_ROI,Occipito-temporal,Not
R_p32pr_ROI,Occipito-temporal,Not
R_a24_ROI,Occipito-temporal,Not
R_d32_ROI,Occipito-temporal,Not
R_8BM_ROI,Occipito-temporal + Auditory,Overlapping
R_p32_ROI,Auditory,Not
R_10r_ROI,Auditory,Not
R_47m_ROI,Auditory,Not
R_8Av_ROI,Auditory,Not
R_8Ad_ROI,Auditory,Not
R_9m_ROI,Occipito-temporal + Auditory,Overlapping
R_8BL_ROI,Auditory,Not
R_9p_ROI,Auditory,Not
R_10d_ROI,Auditory,Not
R_8C_ROI,Ventral Prefrontal,Not
R_44_ROI,Ventral Prefrontal,Not
R_45_ROI,Somatomotor,Not
R_47l_ROI,Somatomotor,Not
R_a47r_ROI,Auditory,Not
R_6r_ROI,Dorsal Prefrontal,Not
R_IFJa_ROI,Ventral Prefrontal,Not
R_IFJp_ROI,Ventral Prefrontal,Not
R_IFSp_ROI,Ventral Prefrontal,Not
R_IFSa_ROI,Ventral Prefrontal,Not
R_p9-46v_ROI,Ventral Prefrontal,Not
R_46_ROI,Auditory,Not
R_a9-46v_ROI,Ventral Prefrontal,Not
R_9-46d_ROI,Auditory,Not
R_9a_ROI,Auditory,Not
R_10v_ROI,Auditory,Not
R_a10p_ROI,Auditory,Not
R_10pp_ROI,Occipito-temporal,Not
R_11l_ROI,Brainy McBrainFace,Not
R_13l_ROI,Unassigned,Unassigned
R_OFC_ROI,Brainy McBrainFace,Not
R_47s_ROI,Brainy McBrainFace,Not
R_LIPd_ROI,Dorsal Prefrontal,Not
R_6a_ROI,Dorsal Prefrontal,Not
R_i6-8_ROI,Dorsal Prefrontal,Not
R_s6-8_ROI,Auditory,Not
R_43_ROI,Dorsal Prefrontal,Not
R_OP4_ROI,Dorsal Prefrontal,Not
R_OP1_ROI,Somatomotor,Not
R_OP2-3_ROI,Dorsal Prefrontal,Not
R_52_ROI,Brainy McBrainFace,Not
R_RI_ROI,Somatomotor,Not
R_PFcm_ROI,Somatomotor,Not
R_PoI2_ROI,Somatomotor + Dorsal Prefrontal,Overlapping
R_TA2_ROI,Brainy McBrainFace,Not
R_FOP4_ROI,Auditory,Not
R_MI_ROI,Somatomotor,Not
R_Pir_ROI,Brainy McBrainFace,Not
R_AVI_ROI,Somatomotor,Not
